,Id,Books,Book_checkout,Book_Returned,Days_allowed_to_borrow,Customer_ID,Days_Borrowed
0,1.0,Catcher in the Rye ,2023-02-20 00:00:00,2023-02-25 00:00:00,2 weeks,1.0,5.0
1,2.0,Lord of the rings the two towers,2023-03-24 00:00:00,2023-03-21 00:00:00,2 weeks,2.0,-3.0
2,3.0,Lord of the rings the return of the kind,2023-03-29 00:00:00,2023-03-25 00:00:00,2 weeks,3.0,-4.0
3,4.0,The hobbit,2023-02-04 00:00:00,2023-03-25 00:00:00,2 weeks,4.0,49.0
4,5.0,Dune ,2023-02-04 00:00:00,2023-03-25 00:00:00,2 weeks,5.0,49.0
5,6.0,Little Women,2023-02-04 00:00:00,2023-01-05 00:00:00,2 weeks,1.0,-30.0
6,7.0,IT,2063-10-04 00:00:00,2023-03-04 00:00:00,2 weeks,6.0,-14824.0
7,8.0,Misery ,2023-04-15 00:00:00,2023-03-04 00:00:00,2 weeks,7.0,-42.0
8,9.0,Catch 22,2023-04-15 00:00:00,2023-04-16 00:00:00,2 weeks,7.0,1.0
9,10.0,Animal Farm ,2023-04-20 00:00:00,2023-04-24 00:00:00,2 weeks,2.0,4.0
10,11.0,1984,2023-04-23 00:00:00,2023-04-27 00:00:00,2 weeks,8.0,4.0
11,12.0,Little Women,2023-02-04 00:00:00,2023-01-05 00:00:00,2 weeks,1.0,-30.0
12,13.0,East of Eden,2023-04-30 00:00:00,2023-05-05 00:00:00,2 weeks,2.0,5.0
13,14.0,America Is in the Heart,2023-01-05 00:00:00,2023-07-05 00:00:00,2 weeks,3.0,181.0
14,15.0,Wuthering Heights,2023-01-05 00:00:00,2023-10-05 00:00:00,2 weeks,9.0,273.0
15,16.0,Dark Tales,2023-05-15 00:00:00,2023-01-06 00:00:00,2 weeks,2.0,-129.0
17,18.0,Les Miserables,2023-03-06 00:00:00,2023-07-06 00:00:00,2 weeks,5.0,122.0
18,19.0,Dracula,2023-10-06 00:00:00,2023-10-07 00:00:00,2 weeks,10.0,1.0
19,20.0,Frankenstein,2023-01-06 00:00:00,2023-06-20 00:00:00,2 weeks,2.0,165.0
